时间,457+508,505+457+508,505+457
51.6,48.90124005,24.85224095,18.67758635
51.7,53.69840168,35.29917912,25.2702283
51.8,58.07701009,45.61438116,31.79556558
51.9,62.00897647,55.67603114,38.15516623
52,65.46964144,65.36269988,44.25044252
52.1,68.43792989,74.55502641,49.98419162
52.2,70.89647818,83.1373958,55.26213671
52.3,72.83173316,90.99958817,59.99444447
52.4,74.23402228,98.03837383,64.09719444
52.5,75.0975947,104.1590302,67.49377696
52.6,75.42063299,109.2767573,70.11619678
52.7,75.20523589,113.3179693,71.90626121
52.8,74.45737216,116.2214424,72.81663308
52.9,73.18680633,117.9393009,72.81173072
53,71.40699691,118.4378239,71.86845971
53.1,69.13496817,117.6980623,69.97676333
53.2,66.39115649,115.7162516,67.13998159
53.3,63.19923283,112.504017,63.3750116
53.4,59.5859026,108.0883628,58.71226499
53.5,55.58068475,102.5114466,53.19542119
53.6,51.2156718,95.83014045,46.88097878
53.7,46.52527283,88.11538252,39.8376098
53.8,41.54594141,79.45132886,32.1453254
53.9,36.31589065,69.93431591,23.89446397
54,30.8747976,59.67164802,15.18451558
54.1,25.26349933,48.78022659,6.122799411
54.2,19.52368297,37.38504023,-3.176987029
54.3,13.69757211,25.61753697,-12.59632601
54.4,7.82761195,13.61390193,-22.01352222
54.5,1.956155584,1.513264682,-31.30540595
54.6,-3.874846305,-10.54413769,-40.34907164
54.7,-9.624149958,-22.41881568,-49.02362607
54.8,-15.25151507,-33.97387382,-57.21192014
54.9,-20.71799115,-45.0768219,-64.80223823
55,-25.98619166,-55.6013248,-71.68991998
55.1,-31.02055397,-65.42886579,-77.77888984
55.2,-35.7875833,-74.45029917,-82.98307138
55.3,-40.25607886,-82.56727013,-87.22766476
55.4,-44.39734085,-89.69348115,-90.45026793
55.5,-48.18535665,-95.75578713,-92.60182437
55.6,-51.59696517,-100.6951035,-93.6473826
55.7,-54.61199832,-104.4671146,-93.56665568
55.8,-57.2133985,-107.0427725,-92.35437186
55.9,-59.38731181,-108.4085794,-90.02041047
56,-61.12315609,-108.5666507,-86.58972055
56.1,-62.41366389,-107.534558,-82.10202297
56.2,-63.25489991,-105.3449545,-76.61129977
56.3,-63.64625332,-102.0449913,-70.18507812
56.4,-63.59040508,-97.69553102,-62.90351882
56.5,-63.09327082,-92.37017355,-54.85832271
56.6,-62.16391984,-86.15410755,-46.15147065
56.7,-60.81447131,-79.14280622,-36.89381567
56.8,-59.05996839,-71.44058691,-27.20354771
56.9,-56.91823171,-63.15905658,-17.20455341
57,-54.40969336,-54.41546663,-7.024695304
57.1,-51.55721295,-45.33100193,3.205964741
57.2,-48.38587735,-36.0290297,13.35697138
57.3,-44.92278571,-26.63333439,23.29928464
57.4,-41.19682165,-17.26636489,32.90706524
57.5,-37.23841458,-8.047519924,42.05941006
57.6,-33.0792919,0.90850308,50.64201266
57.7,-28.75222433,9.493271486,58.54872437
57.8,-24.2907662,17.60607068,65.68299351
57.9,-19.72899295,25.15522607,71.95916175
58,-15.10123781,32.05927515,77.30359913
58.1,-10.44182974,38.24797314,81.65566142
58.2,-5.784834599,43.66311857,84.96845658
58.3,-1.163801686,48.25918772,87.20940948
58.4,3.388482627,52.00377017,88.36061766
58.5,7.840232179,54.87780048,88.41899358
58.6,12.16088753,56.87558442,87.39619235
58.7,16.32133006,58.0046212,85.31832704
58.8,20.29408201,58.28522638,82.22547683
58.9,24.05349127,57.7499631,78.17099639
59,27.57589938,56.44289235,73.220638
59.1,30.83979184,54.41865548,67.4515003
59.2,33.82592967,51.74140492,60.95082059
59.3,36.5174613,48.48360119,53.81462949
59.4,38.90001442,44.72469637,46.14628909
59.5,40.96176702,40.54972562,38.05493706
59.6,42.69349748,36.04782992,29.65386076
59.7,44.08861363,31.31073391,21.05882623
