Éý³Á,ºá,×Ý
0.36184,-1.78044,-0.72624
0.41654,-1.64273,-0.53827
0.46071,-1.4719,-0.32993
0.48737,-1.27222,-0.1052
0.48628,-1.04843,0.12605
0.45346,-0.80503,0.3519
0.39712,-0.54517,0.56246
0.33244,-0.27022,0.75552
0.27104,0.01645,0.9325
0.21278,0.30853,1.09278
0.14974,0.59701,1.22997
0.07535,0.87151,1.33358
-0.00615,1.12393,1.39693
-0.08273,1.35133,1.41953
-0.14222,1.55349,1.40759
-0.18188,1.72973,1.36573
-0.20731,1.87577,1.29491
-0.22509,1.98507,1.19177
-0.23535,2.05133,1.05537
-0.23193,2.07207,0.88985
-0.20841,2.04931,0.70427
-0.16424,1.98575,0.50771
-0.1053,1.88276,0.30542
-0.03829,1.73942,0.0982
0.03282,1.55394,-0.11173
0.10844,1.33059,-0.31911
0.18776,1.07773,-0.51535
0.26762,0.80638,-0.69138
0.34256,0.52421,-0.84083
0.40902,0.23326,-0.9602
0.46604,-0.06581,-1.0463
0.51281,-0.37231,-1.09484
0.54454,-0.67814,-1.1028
0.55301,-0.97135,-1.07145
0.53113,-1.23932,-1.0054
0.47876,-1.47641,-0.91102
0.403,-1.68172,-0.79372
0.31384,-1.85706,-0.65446
0.21757,-1.99882,-0.49466
0.11528,-2.10001,-0.31736
0.00615,-2.15207,-0.12971
-0.10735,-2.1505,0.05968
-0.21921,-2.09686,0.24399
-0.32314,-1.99679,0.41906
-0.41709,-1.85594,0.58045
-0.50337,-1.67654,0.72417
-0.58378,-1.45883,0.84433
-0.6553,-1.20641,0.93616
-0.7111,-0.92628,0.99935
-0.74569,-0.62743,1.03516
-0.75978,-0.31913,1.04503
-0.75964,-0.00541,1.02816
-0.75103,0.31169,0.98184
-0.73421,0.63217,0.90561
-0.70412,0.94994,0.80327
-0.6564,1.25555,0.68231
-0.59308,1.53433,0.54909
-0.52156,1.77503,0.40697
-0.44991,1.96997,0.25561
-0.38139,2.11985,0.09518
-0.31384,2.22712,-0.07114
-0.24423,2.29406,-0.23714
-0.17299,2.31772,-0.39614
-0.10407,2.29181,-0.5432
-0.0413,2.20977,-0.67467
0.01518,2.07026,-0.78783
0.06865,1.87892,-0.87855
0.12102,1.64431,-0.94189
0.17053,1.37635,-0.97595
0.21237,1.07976,-0.98232
0.24369,0.75747,-0.96386
0.26625,0.41468,-0.92311
0.28485,0.06085,-0.85929
0.30372,-0.29186,-0.77048
0.32287,-0.63307,-0.65859
0.33928,-0.95806,-0.52888
0.3509,-1.26636,-0.38898
0.35924,-1.55664,-0.24558
0.36786,-1.82145,-0.10186
0.37962,-2.0484,0.04027
0.39329,-2.22307,0.17857
0.4056,-2.33981,0.30813
0.41353,-2.40066,0.42288
0.41736,-2.4126,0.51901
0.41955,-2.38038,0.59573
0.42256,-2.3033,0.65493
0.42679,-2.17596,0.69902
0.43049,-1.99544,0.72894
0.43008,-1.76489,0.7447
0.42105,-1.49286,0.74597
0.39903,-1.18929,0.73276
0.36102,-0.8616,0.7057
0.30741,-0.51452,0.66528
0.24287,-0.15461,0.61371
0.17299,0.21072,0.55657
0.09969,0.57447,0.50039
0.01764,0.92921,0.44914
-0.0826,1.26974,0.40219
-0.20731,1.59112,0.35397
-0.35186,1.88591,0.29938
